"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","30,969.0","30,672.0","31,410.4","29,974.9","","0.16%"
"11/01/2025","30,918.8","31,721.3","31,744.1","28,993.8","","-1.57%"
"10/01/2025","31,410.4","29,801.3","31,800.9","29,401.5","","4.81%"
"09/01/2025","29,970.3","27,938.1","30,091.7","27,886.4","","5.47%"
"08/01/2025","28,416.6","27,821.5","29,073.3","27,497.4","","0.92%"
"07/01/2025","28,156.5","27,391.6","28,606.7","27,141.4","","2.41%"
"06/01/2025","27,494.1","25,768.5","27,545.6","25,682.3","","6.34%"
"05/01/2025","25,853.8","24,047.9","26,178.8","23,732.3","","9.13%"
"04/01/2025","23,689.8","23,223.9","23,848.5","20,020.8","","1.55%"
"03/01/2025","23,327.5","25,376.9","25,478.7","22,747.6","","-7.61%"
"02/01/2025","25,249.7","25,472.3","26,856.4","24,673.1","","-2.69%"
"01/01/2025","25,947.5","25,506.5","26,509.8","24,809.9","0.02K","2.25%"
"12/01/2024","25,376.2","25,310.6","26,725.7","25,253.2","0.02K","0.46%"
"11/01/2024","25,260.6","24,065.7","25,549.1","23,997.0","0.01K","5.31%"
"10/01/2024","23,986.0","24,165.7","24,839.8","23,654.9","","-0.82%"
"09/01/2024","24,183.4","23,414.4","24,438.2","22,171.1","","2.57%"
"08/01/2024","23,578.1","23,319.5","24,014.2","20,984.0","","1.18%"
"07/01/2024","23,303.3","23,725.2","24,898.5","22,464.7","","-1.59%"
"06/01/2024","23,680.4","22,440.5","24,083.2","22,110.9","0.02K","6.27%"
"05/01/2024","22,284.1","20,876.0","22,726.5","20,757.8","0.02K","6.39%"
"04/01/2024","20,945.6","21,947.9","22,080.8","20,383.6","","-4.43%"
"03/01/2024","21,916.5","21,681.3","22,167.0","21,322.9","","1.23%"
"02/01/2024","21,650.1","20,635.7","21,700.4","20,586.3","","5.41%"
"01/01/2024","20,539.4","19,970.2","21,169.9","19,472.4","","1.89%"
"12/01/2023","20,158.4","19,031.6","20,329.8","18,795.9","","5.56%"
"11/01/2023","19,097.1","17,285.4","19,354.1","17,271.3","","10.82%"
"10/01/2023","17,232.7","17,594.1","18,335.7","16,810.7","","-2.04%"
"09/01/2023","17,590.9","18,641.6","18,663.0","17,251.7","","-5.02%"
"08/01/2023","18,521.4","18,732.3","18,793.7","17,387.9","","-1.50%"
"07/01/2023","18,803.7","18,123.4","19,010.6","17,808.5","","3.84%"
"06/01/2023","18,108.4","17,015.5","18,230.9","16,956.9","","6.55%"
"05/01/2023","16,995.6","15,755.5","17,311.6","15,410.6","","7.73%"
"04/01/2023","15,775.4","15,578.1","15,777.0","15,153.7","","0.52%"
"03/01/2023","15,693.9","14,309.9","15,702.8","13,919.7","","9.54%"
"02/01/2023","14,327.2","14,364.3","15,307.2","14,158.7","","-0.37%"
"01/01/2023","14,380.7","13,113.2","14,553.1","12,709.1","","10.67%"
"12/01/2022","12,994.6","14,283.0","14,446.4","12,674.8","","-9.01%"
"11/01/2022","14,280.6","13,718.1","14,282.2","12,609.7","","5.62%"
"10/01/2022","13,521.3","13,104.6","13,846.6","12,375.4","","4.01%"
"09/01/2022","13,000.4","14,401.3","15,105.7","12,995.3","","-10.55%"
"08/01/2022","14,533.3","15,232.1","16,239.5","14,495.0","","-5.11%"
"07/01/2022","15,316.0","13,565.1","15,361.8","13,442.6","","12.60%"
"06/01/2022","13,601.8","15,066.9","15,243.1","13,047.3","","-8.94%"
"05/01/2022","14,938.0","15,182.3","15,999.2","13,577.5","","-1.53%"
"04/01/2022","15,170.4","17,563.2","17,887.7","15,147.6","","-13.34%"
"03/01/2022","17,506.1","16,740.0","18,008.8","15,358.2","","4.28%"
"02/01/2022","16,787.3","17,629.9","17,900.6","15,404.9","","-4.54%"
"01/01/2022","17,586.6","19,306.8","19,449.6","16,165.4","","-8.49%"
"12/01/2021","19,217.9","19,242.7","19,555.3","18,259.4","","1.19%"
"11/01/2021","18,992.1","18,675.2","19,730.8","18,564.3","","1.88%"
"10/01/2021","18,641.0","17,319.1","18,648.5","16,913.7","","7.94%"
"09/01/2021","17,270.0","18,376.3","18,453.8","17,264.0","","-5.69%"
"08/01/2021","18,311.2","17,665.6","18,354.8","17,358.2","","4.25%"
"07/01/2021","17,564.3","17,054.7","17,777.8","16,969.6","","2.82%"
"06/01/2021","17,083.1","16,147.0","17,115.4","15,804.5","","6.40%"
"05/01/2021","16,055.7","16,318.2","16,355.6","15,204.0","","-1.17%"
"04/01/2021","16,245.0","15,545.5","16,493.1","15,530.2","","5.92%"
"03/01/2021","15,337.6","15,345.2","15,576.3","14,297.3","","1.47%"
"02/01/2021","15,115.0","15,287.3","16,244.8","14,936.8","","-0.04%"
"01/01/2021","15,120.8","15,146.6","15,866.0","14,663.9","","0.32%"
