"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2025","15,211.14","15,268.33","15,268.33","14,482.68","","0.25%"
"10/01/2025","15,173.95","14,775.36","15,350.24","14,528.40","","2.34%"
"09/01/2025","14,826.80","14,177.43","14,848.93","14,086.81","","3.65%"
"08/01/2025","14,304.68","13,905.81","14,409.20","13,742.09","","2.03%"
"07/01/2025","14,020.46","13,673.90","14,214.24","13,653.40","","2.24%"
"06/01/2025","13,712.71","13,017.59","13,735.01","12,939.77","","5.09%"
"05/01/2025","13,049.13","12,400.17","13,170.27","12,299.82","","6.29%"
"04/01/2025","12,276.39","12,328.97","12,544.57","10,652.02","","-0.68%"
"03/01/2025","12,360.21","13,129.87","13,168.72","12,089.05","","-5.63%"
"02/01/2025","13,098.22","13,116.48","13,517.32","12,841.65","","-1.30%"
"01/01/2025","13,271.38","12,959.78","13,462.37","12,682.03","","2.78%"
"12/01/2024","12,911.82","13,245.66","13,379.76","12,801.93","","-2.38%"
"11/01/2024","13,227.13","12,533.19","13,252.59","12,475.43","","5.87%"
"10/01/2024","12,493.74","12,598.03","12,866.23","12,415.98","","-0.91%"
"09/01/2024","12,608.07","12,292.10","12,613.73","11,810.89","","2.14%"
"08/01/2024","12,344.43","12,086.49","12,349.53","11,174.64","","2.43%"
"07/01/2024","12,052.09","11,930.63","12,369.96","11,764.24","","1.22%"
"06/01/2024","11,907.15","11,538.85","12,044.48","11,402.00","","3.59%"
"05/01/2024","11,494.70","10,937.26","11,628.93","10,899.45","","4.96%"
"04/01/2024","10,951.66","11,425.92","11,438.57","10,772.04","","-4.08%"
"03/01/2024","11,418.03","11,067.61","11,440.74","10,978.06","","3.22%"
"02/01/2024","11,062.11","10,535.43","11,090.20","10,519.34","","5.34%"
"01/01/2024","10,501.38","10,274.81","10,686.01","10,139.98","","1.68%"
"12/01/2023","10,327.83","9,861.75","10,377.97","9,834.35","","4.54%"
"11/01/2023","9,879.02","9,068.49","9,918.91","9,060.87","","9.13%"
"10/01/2023","9,052.31","9,239.16","9,480.31","8,857.03","","-2.10%"
"09/01/2023","9,246.74","9,759.60","9,782.23","9,138.74","","-4.77%"
"08/01/2023","9,709.68","9,845.22","9,857.56","9,333.96","","-1.59%"
"07/01/2023","9,866.77","9,560.37","9,904.29","9,421.74","","3.21%"
"06/01/2023","9,559.67","8,975.67","9,577.07","8,951.25","","6.61%"
"05/01/2023","8,967.16","8,922.62","9,075.07","8,670.07","","0.43%"
"04/01/2023","8,928.35","8,775.93","8,929.38","8,670.05","","1.56%"
"03/01/2023","8,791.13","8,465.77","8,794.21","8,141.26","","3.67%"
"02/01/2023","8,479.80","8,678.01","8,945.67","8,420.19","","-2.44%"
"01/01/2023","8,691.88","8,207.69","8,728.10","8,082.33","","6.28%"
"12/01/2022","8,178.02","8,694.39","8,727.13","8,015.83","","-5.76%"
"11/01/2022","8,678.00","8,282.06","8,678.00","7,851.83","","5.59%"
"10/01/2022","8,218.70","7,654.43","8,288.85","7,408.63","","8.10%"
"09/01/2022","7,603.14","8,337.18","8,726.87","7,599.97","","-9.21%"
"08/01/2022","8,374.42","8,692.66","9,150.34","8,374.09","","-4.08%"
"07/01/2022","8,730.46","7,984.30","8,751.16","7,863.55","","9.22%"
"06/01/2022","7,993.43","8,750.65","8,810.50","7,676.80","","-8.25%"
"05/01/2022","8,712.60","8,693.93","9,066.51","8,030.44","","0.18%"
"04/01/2022","8,696.65","9,548.31","9,661.63","8,680.71","","-8.72%"
"03/01/2022","9,527.46","9,163.93","9,750.44","8,735.52","","3.71%"
"02/01/2022","9,186.37","9,478.40","9,637.31","8,639.94","","-2.99%"
"01/01/2022","9,469.92","10,011.81","10,097.30","8,854.41","","-5.17%"
"12/01/2021","9,986.70","9,634.11","10,075.65","9,410.82","","4.48%"
"11/01/2021","9,558.33","9,636.06","9,925.67","9,544.47","","-0.69%"
"10/01/2021","9,625.02","9,014.98","9,630.58","8,935.78","","7.01%"
"09/01/2021","8,994.83","9,446.98","9,483.83","8,988.44","","-4.65%"
"08/01/2021","9,433.58","9,179.40","9,463.03","9,106.70","","3.04%"
"07/01/2021","9,155.21","8,950.11","9,226.73","8,814.47","","2.38%"
"06/01/2021","8,942.78","8,764.83","8,952.48","8,663.78","","2.33%"
"05/01/2021","8,738.77","8,700.62","8,799.10","8,424.45","","0.70%"
"04/01/2021","8,678.16","8,279.75","8,755.50","8,279.75","","5.34%"
"03/01/2021","8,238.48","7,957.96","8,282.99","7,712.97","","4.38%"
"02/01/2021","7,892.81","7,716.04","8,175.83","7,704.89","","2.76%"
"01/01/2021","7,681.01","7,777.41","8,001.99","7,567.08","","-1.01%"
"12/01/2020","7,759.35","7,522.30","7,767.17","7,500.48","","3.84%"
"11/01/2020","7,472.06","6,788.96","7,517.66","6,755.13","","10.95%"
"10/01/2020","6,734.84","6,966.63","7,307.55","6,660.69","","-2.66%"
"09/01/2020","6,918.83","7,206.90","7,373.35","6,602.36","","-3.80%"
"08/01/2020","7,192.11","6,745.17","7,221.83","6,737.72","","7.19%"
"07/01/2020","6,709.81","6,363.41","6,725.83","6,353.66","","5.64%"
"06/01/2020","6,351.67","6,216.80","6,615.55","6,073.52","","1.99%"
"05/01/2020","6,227.81","5,856.87","6,276.60","5,654.23","","4.76%"
"04/01/2020","5,944.68","5,092.85","6,031.08","4,989.73","","12.82%"
"03/01/2020","5,269.20","6,052.69","6,383.33","4,466.72","","-12.35%"
"02/01/2020","6,011.73","6,571.68","6,901.42","5,811.55","","-8.23%"
"01/01/2020","6,551.00","6,582.55","6,776.35","6,522.34","","-0.04%"
"12/01/2019","6,553.57","6,367.59","6,586.85","6,219.00","","3.02%"
"11/01/2019","6,361.56","6,165.86","6,386.80","6,165.86","","3.63%"
"10/01/2019","6,138.73","6,022.89","6,162.59","5,766.45","","2.17%"
"09/01/2019","6,008.59","5,863.47","6,097.45","5,829.08","","1.87%"
"08/01/2019","5,898.23","5,993.64","6,060.55","5,676.31","","-1.58%"
"07/01/2019","5,993.17","5,967.85","6,088.08","5,929.30","","1.44%"
"06/01/2019","5,908.25","5,518.27","5,952.03","5,473.21","","7.05%"
"05/01/2019","5,519.27","5,906.87","5,910.38","5,516.33","","-6.35%"
"04/01/2019","5,893.81","5,692.95","5,901.00","5,692.95","","4.05%"
"03/01/2019","5,664.46","5,584.19","5,714.14","5,435.03","","1.94%"
