"Date","Price","Open","High","Low","Change %"
"12/01/2025","1.848","1.831","1.869","1.784","0.87%"
"11/01/2025","1.832","1.740","1.840","1.740","3.85%"
"10/01/2025","1.764","1.880","1.880","1.750","-6.07%"
"09/01/2025","1.878","1.780","1.890","1.750","5.21%"
"08/01/2025","1.785","1.710","1.780","1.690","3.30%"
"07/01/2025","1.728","1.640","1.740","1.640","4.66%"
"06/01/2025","1.651","1.700","1.700","1.620","-2.88%"
"05/01/2025","1.700","1.630","1.710","1.630","4.55%"
"04/01/2025","1.626","1.870","1.870","1.620","-13.05%"
"03/01/2025","1.870","1.770","1.940","1.750","5.65%"
"02/01/2025","1.770","1.620","1.780","1.600","7.93%"
"01/01/2025","1.640","1.610","1.650","1.590","-1.80%"
"12/01/2024","1.670","2.070","2.071","1.668","-18.14%"
"11/01/2024","2.040","2.133","2.183","2.025","-4.23%"
"10/01/2024","2.130","2.148","2.196","2.080","0.00%"
"09/01/2024","2.130","2.270","2.270","2.025","-2.43%"
"08/01/2024","2.183","2.211","2.275","2.099","1.63%"
"07/01/2024","2.148","2.303","2.370","2.126","-2.72%"
"06/01/2024","2.208","2.347","2.410","2.200","-4.83%"
"05/01/2024","2.320","2.442","2.442","2.227","0.48%"
"04/01/2024","2.309","2.400","2.435","2.205","0.35%"
"03/01/2024","2.301","2.363","2.427","2.237","-2.62%"
"02/01/2024","2.363","2.473","2.539","2.341","-2.76%"
"01/01/2024","2.430","2.695","2.695","2.418","-5.78%"
"12/01/2023","2.579","2.719","2.734","2.565","-3.98%"
"11/01/2023","2.686","2.706","2.805","2.645","-0.85%"
"10/01/2023","2.709","2.740","2.767","2.686","-0.22%"
"09/01/2023","2.715","2.594","2.741","2.594","4.87%"
"08/01/2023","2.589","2.811","2.811","2.533","-4.00%"
"07/01/2023","2.697","2.700","2.810","2.636","0.52%"
"06/01/2023","2.683","2.785","2.820","2.622","-1.14%"
"05/01/2023","2.714","2.878","2.878","2.693","-2.55%"
"04/01/2023","2.785","2.913","2.958","2.775","-2.66%"
"03/01/2023","2.861","2.918","2.990","2.850","-1.79%"
"02/01/2023","2.913","2.966","3.020","2.889","-0.51%"
"01/01/2023","2.928","2.947","3.060","2.856","1.53%"
"12/01/2022","2.884","2.932","3.025","2.858","-1.33%"
"11/01/2022","2.923","2.670","2.943","2.650","10.30%"
"10/01/2022","2.650","2.865","2.865","2.636","-4.74%"
"09/01/2022","2.782","2.661","2.800","2.623","5.02%"
"08/01/2022","2.649","2.805","2.805","2.615","-3.99%"
"07/01/2022","2.759","2.853","2.905","2.755","-2.30%"
"06/01/2022","2.824","2.825","2.880","2.776","0.75%"
"05/01/2022","2.803","2.928","2.928","2.742","-1.34%"
"04/01/2022","2.841","2.854","2.922","2.783","0.85%"
"03/01/2022","2.817","2.854","2.935","2.761","0.93%"
"02/01/2022","2.791","2.800","2.887","2.712","1.53%"
"01/01/2022","2.749","2.850","2.890","2.660","-1.22%"
"12/01/2021","2.783","2.903","2.940","2.771","-2.93%"
"11/01/2021","2.867","3.030","3.050","2.848","-3.66%"
"10/01/2021","2.976","3.000","3.108","2.885","3.55%"
"09/01/2021","2.874","2.930","3.000","2.823","0.60%"
"08/01/2021","2.857","2.970","2.980","2.803","0.42%"
"07/01/2021","2.845","3.107","3.210","2.843","-7.72%"
"06/01/2021","3.083","3.112","3.230","3.068","0.19%"
"05/01/2021","3.077","3.208","3.260","3.063","-3.12%"
"04/01/2021","3.176","3.227","3.320","3.145","-0.78%"
"03/01/2021","3.201","3.325","3.360","3.196","-2.68%"
"02/01/2021","3.289","3.250","3.385","3.177","1.92%"
"01/01/2021","3.227","3.278","3.278","3.123","0.75%"
"12/01/2020","3.203","3.369","3.401","3.174","-2.35%"
