"Date","Price","Open","High","Low","Change %"
"Dec 25","1.409","1.406","1.410","1.403","0.36%"
"Nov 25","1.404","1.407","1.411","1.403","-0.14%"
"Oct 25","1.406","1.403","1.407","1.400","0.72%"
"Sep 25","1.396","1.393","1.396","1.387","0.29%"
"Aug 25","1.392","1.380","1.396","1.379","0.94%"
"Jul 25","1.379","1.378","1.388","1.378","0.29%"
"Jun 25","1.375","1.375","1.378","1.370","0.15%"
"May 25","1.373","1.363","1.376","1.363","0.88%"
"Apr 25","1.361","1.360","1.363","1.348","0.15%"
"Mar 25","1.359","1.350","1.362","1.350","0.67%"
"Feb 25","1.350","1.354","1.358","1.348","-0.44%"
"Jan 25","1.356","1.371","1.372","1.351","-1.31%"
"Dec 24","1.374","1.363","1.376","1.363","0.96%"
"Nov 24","1.361","1.394","1.403","1.358","-2.16%"
"Oct 24","1.391","1.402","1.402","1.385","0.07%"
"Sep 24","1.390","1.366","1.390","1.359","1.61%"
"Aug 24","1.368","1.377","1.377","1.363","-0.65%"
"Jul 24","1.377","1.420","1.421","1.370","-2.82%"
"Jun 24","1.417","1.417","1.420","1.413","0.07%"
"May 24","1.416","1.408","1.422","1.408","0.78%"
"Apr 24","1.405","1.386","1.409","1.386","1.52%"
"Mar 24","1.384","1.363","1.384","1.363","1.47%"
"Feb 24","1.364","1.327","1.364","1.325","2.79%"
"Jan 24","1.327","1.346","1.346","1.313","-1.34%"
"Dec 23","1.345","1.334","1.345","1.327","0.67%"
"Nov 23","1.336","1.332","1.339","1.332","0.23%"
"Oct 23","1.333","1.345","1.345","1.322","-0.74%"
"Sep 23","1.343","1.352","1.354","1.343","-0.52%"
"Aug 23","1.350","1.360","1.360","1.348","-0.74%"
"Jul 23","1.360","1.349","1.360","1.346","1.19%"
"Jun 23","1.344","1.337","1.351","1.337","0.60%"
"May 23","1.336","1.353","1.353","1.336","-1.11%"
"Apr 23","1.351","1.389","1.398","1.342","-2.81%"
"Mar 23","1.390","1.385","1.390","1.379","0.72%"
"Feb 23","1.380","1.376","1.385","1.374","0.51%"
"Jan 23","1.373","1.358","1.376","1.358","1.33%"
"Dec 22","1.355","1.357","1.362","1.345","0.15%"
"Nov 22","1.353","1.355","1.360","1.347","0.30%"
"Oct 22","1.349","1.366","1.371","1.349","-1.24%"
"Sep 22","1.366","1.377","1.384","1.366","-0.94%"
"Aug 22","1.379","1.383","1.384","1.377","-0.22%"
"Jul 22","1.382","1.383","1.384","1.375","0.07%"
"Jun 22","1.381","1.372","1.381","1.371","0.58%"
"May 22","1.373","1.365","1.373","1.356","0.73%"
"Apr 22","1.363","1.360","1.373","1.353","0.59%"
"Mar 22","1.355","1.373","1.375","1.340","-1.31%"
"Feb 22","1.373","1.374","1.384","1.370","0.37%"
"Jan 22","1.368","1.372","1.380","1.367","-0.15%"
"Dec 21","1.370","1.375","1.389","1.364","-0.29%"
"Nov 21","1.374","1.372","1.376","1.368","0.37%"
"Oct 21","1.369","1.370","1.373","1.366","0.22%"
"Sep 21","1.366","1.359","1.376","1.359","0.81%"
"Aug 21","1.355","1.348","1.359","1.348","1.04%"
"Jul 21","1.341","1.344","1.350","1.339","-0.15%"
"Jun 21","1.343","1.352","1.352","1.337","-0.59%"
"May 21","1.351","1.341","1.352","1.339","0.75%"
"Apr 21","1.341","1.376","1.376","1.339","-2.26%"
"Mar 21","1.372","1.381","1.385","1.365","-0.44%"
"Feb 21","1.378","1.369","1.397","1.369","1.10%"
"Jan 21","1.363","1.354","1.382","1.354","1.19%"
"Dec 20","1.347","1.336","1.347","1.322","1.28%"
"Nov 20","1.330","1.364","1.377","1.315","-2.28%"
"Oct 20","1.361","1.343","1.367","1.343","1.80%"
"Sep 20","1.337","1.352","1.352","1.333","-1.11%"
"Aug 20","1.352","1.319","1.352","1.318","3.05%"
"Jul 20","1.312","1.279","1.316","1.279","3.31%"
"Jun 20","1.270","1.275","1.275","1.264","0.08%"
"May 20","1.269","1.279","1.279","1.264","-0.78%"
"Apr 20","1.279","1.284","1.299","1.262","-0.16%"
"Mar 20","1.281","1.307","1.316","1.269","-1.46%"
"Feb 20","1.300","1.278","1.318","1.278","0.39%"
"Jan 20","1.295","1.303","1.310","1.295","0.00%"
"Dec 19","1.295","1.058","1.391","1.058","-2.56%"
"Nov 19","1.329","1.328","1.487","1.000","0.45%"
"Oct 19","1.323","1.334","1.341","1.323","-0.45%"
"Sep 19","1.329","1.324","1.333","1.291","0.53%"
"Aug 19","1.322","1.311","1.323","1.305","0.76%"
"Jul 19","1.312","1.309","1.313","1.299","0.85%"
"Jun 19","1.301","1.274","1.301","1.267","2.04%"
"May 19","1.275","1.267","1.283","1.265","-0.55%"
"Apr 19","1.282","1.290","1.297","1.274","0.08%"
