"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","4,629.94","4,539.19","4,676.13","4,484.27","72.70B","2.28%"
"11/01/2025","4,526.66","4,636.73","4,707.13","4,421.81","3.91M","-2.46%"
"10/01/2025","4,640.67","4,662.11","4,761.83","4,490.87","4.46M","0.00%"
"09/01/2025","4,640.69","4,516.88","4,647.57","4,327.51","5.53M","3.20%"
"08/01/2025","4,496.76","4,069.93","4,516.84","4,037.94","5.11M","10.33%"
"07/01/2025","4,075.59","3,935.91","4,185.21","3,924.72","4.75M","3.54%"
"06/01/2025","3,936.08","3,833.46","3,969.26","3,827.08","2.84M","2.50%"
"05/01/2025","3,840.23","3,794.38","3,960.52","3,782.78","2.35M","1.85%"
"04/01/2025","3,770.57","3,892.78","3,905.26","3,514.12","3.33M","-3.00%"
"03/01/2025","3,887.31","3,899.70","4,025.30","3,855.73","3.26M","-0.07%"
"02/01/2025","3,890.05","3,844.70","3,995.95","3,785.16","3.40M","1.91%"
"01/01/2025","3,817.08","3,931.82","3,934.20","3,704.11","2.74M","-2.99%"
"12/01/2024","3,934.91","3,909.70","4,098.38","3,899.75","3.89M","0.47%"
"11/01/2024","3,916.58","3,882.46","4,200.91","3,812.32","5.14M","0.66%"
"10/01/2024","3,891.04","4,450.37","4,450.37","3,765.16","5.13M","-3.16%"
"09/01/2024","4,017.85","3,307.54","4,038.70","3,145.79","2.94M","20.97%"
"08/01/2024","3,321.43","3,443.14","3,448.34","3,269.53","2.33M","-3.51%"
"07/01/2024","3,442.08","3,458.26","3,545.34","3,352.80","2.88M","-0.57%"
"06/01/2024","3,461.66","3,577.38","3,625.01","3,440.65","2.38M","-3.30%"
"05/01/2024","3,579.92","3,654.05","3,703.03","3,579.92","2.87M","-0.68%"
"04/01/2024","3,604.39","3,551.58","3,645.82","3,470.06","3.11M","1.89%"
"03/01/2024","3,537.48","3,515.06","3,610.74","3,489.39","3.03M","0.61%"
"02/01/2024","3,516.08","3,202.26","3,521.66","3,108.35","2.57M","9.35%"
"01/01/2024","3,215.35","3,426.27","3,426.27","3,171.63","2.87M","-6.29%"
"12/01/2023","3,431.11","3,494.22","3,494.22","3,283.99","2.14M","-1.86%"
"11/01/2023","3,496.20","3,605.76","3,635.79","3,481.45","2.19M","-2.14%"
"10/01/2023","3,572.51","3,678.93","3,711.50","3,450.65","1.83M","-3.17%"
"09/01/2023","3,689.52","3,778.91","3,854.26","3,664.77","1.87M","-2.01%"
"08/01/2023","3,765.27","4,009.18","4,058.24","3,695.03","2.77M","-6.21%"
"07/01/2023","4,014.63","3,853.29","4,064.36","3,798.80","2.35M","4.48%"
"06/01/2023","3,842.45","3,788.59","3,968.01","3,777.78","2.42M","1.16%"
"05/01/2023","3,798.54","4,013.47","4,092.85","3,781.40","3.14M","-5.72%"
"04/01/2023","4,029.09","4,059.62","4,169.67","3,925.44","3.14M","-0.54%"
"03/01/2023","4,050.93","4,068.73","4,137.25","3,935.02","3.49M","-0.46%"
"02/01/2023","4,069.46","4,170.13","4,207.41","4,026.45","2.33M","-2.10%"
"01/01/2023","4,156.86","3,864.84","4,268.15","3,831.25","1.80M","7.37%"
"12/01/2022","3,871.63","3,921.30","4,003.32","3,805.95","2.36M","0.48%"
"11/01/2022","3,853.04","3,519.82","3,877.68","3,517.62","2.92M","9.81%"
"10/01/2022","3,508.70","3,806.56","3,870.22","3,495.95","1.71M","-7.78%"
"09/01/2022","3,804.89","4,066.19","4,128.11","3,801.28","2.07M","-6.72%"
"08/01/2022","4,078.84","4,160.65","4,222.79","4,046.62","2.44M","-2.19%"
"07/01/2022","4,170.10","4,489.52","4,530.32","4,160.87","2.55M","-7.02%"
"06/01/2022","4,485.01","4,086.62","4,515.00","4,057.91","3.51M","9.62%"
"05/01/2022","4,091.52","3,995.35","4,096.20","3,808.57","2.36M","1.87%"
"04/01/2022","4,016.24","4,198.82","4,290.67","3,757.09","2.67M","-4.89%"
"03/01/2022","4,222.60","4,597.85","4,623.43","3,942.86","3.26M","-7.84%"
"02/01/2022","4,581.65","4,638.58","4,672.65","4,488.48","2.17M","0.39%"
"01/01/2022","4,563.77","4,957.98","4,961.45","4,559.83","2.72M","-7.62%"
"12/01/2021","4,940.37","4,831.89","5,143.84","4,823.93","3.49M","2.24%"
"11/01/2021","4,832.03","4,878.13","4,935.49","4,754.00","2.99M","-1.56%"
"10/01/2021","4,908.77","4,915.73","5,002.57","4,840.77","2.35M","0.87%"
"09/01/2021","4,866.38","4,804.69","5,042.80","4,763.30","4.61M","1.26%"
"08/01/2021","4,805.61","4,794.82","5,059.79","4,720.83","4.10M","-0.12%"
"07/01/2021","4,811.17","5,241.20","5,252.26","4,663.90","3.79M","-7.90%"
"06/01/2021","5,224.04","5,320.47","5,352.64","5,058.57","2.85M","-2.02%"
"05/01/2021","5,331.57","5,098.80","5,378.48","4,925.92","2.66M","4.06%"
"04/01/2021","5,123.49","5,059.94","5,181.15","4,900.30","2.75M","1.49%"
"03/01/2021","5,048.36","5,389.25","5,454.97","4,883.66","4.01M","-5.40%"
"02/01/2021","5,336.76","5,356.85","5,930.91","5,318.86","3.01M","-0.28%"
"01/01/2021","5,351.96","5,212.93","5,655.48","5,190.94","4.13M","2.70%"
"12/01/2020","5,211.29","4,963.13","5,215.62","4,849.35","3.29M","5.06%"
"11/01/2020","4,960.25","4,702.75","5,055.19","4,695.44","3.30M","5.64%"
"10/01/2020","4,695.33","4,663.61","4,849.60","4,639.30","1.83M","2.35%"
"09/01/2020","4,587.40","4,803.39","4,877.01","4,554.72","2.67M","-4.75%"
"08/01/2020","4,816.22","4,735.90","4,901.21","4,566.27","3.88M","2.58%"
"07/01/2020","4,695.05","4,172.64","4,878.08","4,163.50","5.95M","12.75%"
"06/01/2020","4,163.96","3,901.73","4,174.42","3,901.73","2.55M","7.68%"
"05/01/2020","3,867.02","3,867.26","3,998.10","3,800.18","1.79M","-1.16%"
"04/01/2020","3,912.58","3,682.30","3,921.70","3,652.32","2.24M","6.14%"
"03/01/2020","3,686.16","3,968.84","4,215.85","3,503.19","3.67M","-6.44%"
"02/01/2020","3,940.05","3,639.91","4,184.44","3,639.91","3.66M","-1.59%"
"01/01/2020","4,003.90","4,121.35","4,223.51","3,972.39","2.15M","-2.26%"
"12/01/2019","4,096.58","3,835.51","4,098.14","3,811.63","2.51M","7.00%"
"11/01/2019","3,828.67","3,883.81","4,030.64","3,804.83","1.85M","-1.49%"
"10/01/2019","3,886.75","3,818.59","3,983.81","3,805.07","1.47M","1.89%"
"09/01/2019","3,814.53","3,803.69","3,985.24","3,799.82","2.17M","0.39%"
"08/01/2019","3,799.59","3,819.32","3,848.24","3,575.86","2.10M","-0.93%"
"07/01/2019","3,835.36","3,899.33","3,942.43","3,745.85","2.13M","0.26%"
"06/01/2019","3,825.59","3,640.61","3,856.09","3,557.02","2.00M","5.39%"
"05/01/2019","3,629.79","3,775.08","3,791.61","3,556.26","2.26M","-7.24%"
