"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-12-1","30,262.02","29,888.07","31,881.11","29,466.51","","1.10%"
"2025-11-1","29,932.73","28,483.16","30,124.54","28,005.85","","5.08%"
"2025-10-1","28,485.76","27,475.40","31,200.64","27,193.16","","3.68%"
"2025-9-1","27,474.84","24,587.88","27,582.88","24,507.10","","11.74%"
"2025-8-1","24,587.68","23,690.03","24,630.35","23,658.66","","3.76%"
"2025-7-1","23,696.18","23,661.30","24,675.27","23,511.53","","0.15%"
"2025-6-1","23,661.73","23,685.74","24,788.19","23,295.44","","-0.09%"
"2025-5-1","23,682.89","23,918.71","24,816.48","22,500.71","","-0.96%"
"2025-4-1","23,911.94","22,670.30","25,581.25","21,608.72","","5.48%"
"2025-3-1","22,669.72","20,807.67","22,696.75","20,799.84","","8.88%"
"2025-2-1","20,821.61","20,313.93","21,510.30","20,098.50","","2.51%"
"2025-1-1","20,312.34","19,160.20","20,431.15","19,121.61","","6.06%"
"2024-12-1","19,151.99","19,221.22","19,797.81","18,825.15","","-0.34%"
"2024-11-1","19,217.78","19,526.72","19,718.77","18,378.10","","-1.60%"
"2024-10-1","19,530.03","18,491.96","19,896.03","18,378.13","","5.64%"
"2024-9-1","18,486.88","17,746.27","18,834.09","17,590.03","","4.17%"
"2024-8-1","17,746.50","17,669.87","18,069.40","16,828.94","","0.48%"
"2024-7-1","17,662.42","16,906.97","18,041.73","16,850.88","","4.46%"
"2024-6-1","16,907.99","16,843.44","17,301.19","16,573.95","","0.34%"
"2024-5-1","16,850.25","16,554.37","17,713.31","16,491.35","","1.82%"
"2024-4-1","16,548.91","16,175.21","17,598.22","16,114.38","","2.67%"
"2024-3-1","16,118.42","14,694.63","16,158.81","14,675.21","","9.72%"
"2024-2-1","14,690.00","14,624.42","14,830.13","14,274.22","","0.48%"
"2024-1-1","14,619.46","14,646.32","14,835.99","14,386.19","","-0.14%"
"2023-12-1","14,639.85","14,533.17","15,078.72","14,175.58","","0.75%"
"2023-11-1","14,531.06","14,515.70","14,666.94","14,084.59","","0.15%"
"2023-10-1","14,509.36","13,494.12","14,704.08","13,216.45","","7.52%"
"2023-9-1","13,494.54","14,079.84","14,195.34","13,481.02","","-4.15%"
"2023-8-1","14,078.33","14,036.12","14,196.70","13,726.25","","0.33%"
"2023-7-1","14,032.28","13,920.03","14,341.04","13,781.64","","0.81%"
"2023-6-1","13,919.52","13,954.66","14,090.83","13,700.67","","-0.20%"
"2023-5-1","13,948.07","13,764.38","14,330.83","13,665.57","","1.45%"
"2023-4-1","13,748.74","13,537.74","14,073.51","13,440.38","","1.69%"
"2023-3-1","13,520.18","12,674.43","13,852.68","12,577.88","","6.76%"
"2023-2-1","12,664.12","13,025.86","13,197.04","12,516.29","","-2.71%"
"2023-1-1","13,016.24","12,582.04","13,224.83","12,556.50","","3.44%"
"2022-12-1","12,583.25","12,547.89","12,760.59","12,290.20","","0.42%"
"2022-11-1","12,530.41","11,928.16","12,688.54","11,824.51","","5.09%"
"2022-10-1","11,923.56","11,821.78","12,308.79","11,717.44","","0.99%"
"2022-9-1","11,806.92","11,788.99","12,021.65","11,562.38","","0.23%"
"2022-8-1","11,779.43","11,903.82","12,196.67","11,776.73","","-1.06%"
"2022-7-1","11,905.88","12,105.41","12,151.59","11,375.28","","-1.60%"
"2022-6-1","12,099.66","12,256.54","12,603.08","12,077.99","","-1.27%"
"2022-5-1","12,254.81","12,530.34","12,642.11","12,155.37","","-2.21%"
"2022-4-1","12,531.65","12,281.47","12,720.29","12,182.13","","2.10%"
"2022-3-1","12,273.46","12,042.75","13,081.58","11,999.59","","1.95%"
"2022-2-1","12,038.26","11,436.22","12,490.12","11,375.95","","5.34%"
"2022-1-1","11,428.35","11,632.52","11,730.54","11,319.51","","-1.60%"
"2021-12-1","11,614.12","11,296.03","11,642.05","11,167.67","","2.89%"
"2021-11-1","11,288.31","11,423.03","11,994.33","11,259.59","","-1.14%"
"2021-10-1","11,418.89","11,329.05","11,593.00","11,252.30","","0.88%"
"2021-9-1","11,319.64","11,720.33","11,836.79","11,128.67","","-3.34%"
"2021-8-1","11,710.25","11,723.30","11,831.80","10,923.21","","-0.06%"
"2021-7-1","11,717.42","11,430.60","11,848.49","11,400.03","","2.55%"
"2021-6-1","11,426.18","12,150.84","12,214.76","11,319.28","","-5.97%"
"2021-5-1","12,151.09","11,448.35","12,226.50","11,431.62","","6.14%"
"2021-4-1","11,448.08","11,188.51","11,678.64","11,175.01","","2.35%"
"2021-3-1","11,185.63","11,224.00","11,423.60","10,915.59","","-0.31%"
"2021-2-1","11,220.88","11,975.19","12,096.85","11,119.49","","-5.40%"
"2021-1-1","11,861.13","12,387.25","12,649.54","11,733.35","","-4.23%"
"2020-12-1","12,385.04","11,691.70","12,492.46","11,680.93","","6.01%"
"2020-11-1","11,682.86","12,572.88","12,960.50","11,602.36","","-7.06%"
"2020-10-1","12,570.67","12,806.09","13,045.84","12,477.92","","-1.81%"
"2020-9-1","12,802.22","13,476.69","13,588.33","12,606.42","","-4.97%"
"2020-8-1","13,471.43","13,817.63","14,423.88","12,958.44","","-2.20%"
"2020-7-1","13,774.46","12,585.42","13,869.08","12,297.91","","9.53%"
"2020-6-1","12,576.51","12,411.64","12,620.50","11,847.20","","1.92%"
"2020-5-1","12,339.73","11,914.82","12,568.87","11,794.32","","3.68%"
"2020-4-1","11,902.09","11,172.38","12,321.82","11,092.87","","6.97%"
"2020-3-1","11,126.42","11,124.89","11,804.67","10,188.71","","0.43%"
"2020-2-1","11,078.28","11,030.66","11,876.80","10,794.71","","0.46%"
"2020-1-1","11,027.59","10,565.22","11,189.84","10,559.91","","4.42%"
"2019-12-1","10,561.12","10,316.82","10,637.54","10,215.25","","2.45%"
"2019-11-1","10,308.42","10,650.52","10,672.03","10,130.58","","-3.18%"
"2019-10-1","10,646.65","10,524.73","10,857.02","10,429.46","","1.18%"
"2019-9-1","10,522.49","10,879.05","11,132.43","10,468.17","","-3.25%"
"2019-8-1","10,875.73","9,732.88","11,115.09","9,669.03","","11.77%"
"2019-7-1","9,730.30","9,564.29","9,996.47","9,459.34","","0.58%"
"2019-6-1","9,674.50","9,027.57","9,902.34","9,022.20","","7.37%"
"2019-5-1","9,010.78","8,644.88","9,025.60","8,527.19","","4.26%"
"2019-4-1","8,642.98","8,668.48","8,804.31","8,506.94","","-0.31%"
"2019-3-1","8,670.20","8,791.42","8,887.07","8,593.03","","-1.33%"
"2019-2-1","8,786.68","8,851.89","9,085.55","8,785.30","","-0.69%"
"2019-1-1","8,847.50","8,820.26","8,924.01","8,672.55","","0.36%"
"2018-12-1","8,815.56","8,514.01","8,834.37","8,445.07","","3.72%"
