期间类型,期间,起始价格,结束价格,年化收益率(%)
年度收益,2015,4362.44,4362.44,0.0
年度收益,2016,4056.17,3958.53,-2.41
年度收益,2017,3996.97,4918.52,23.06
年度收益,2018,4987.52,3755.91,-24.69
年度收益,2019,3704.62,5227.73,41.11
年度收益,2020,5298.75,6790.39,28.15
年度收益,2021,6863.92,6551.59,-4.55
年度收益,2022,6521.61,5251.97,-19.47
年度收益,2023,5274.03,4772.18,-9.52
年度收益,2024,4709.92,5642.6,19.8
年度收益,2025,5478.38,6858.09,25.18
多年期几何平均,10年 (2015-2025),4362.44,6858.09,4.63
多年期几何平均,5年 (2020-2025),6663.25,6858.09,0.58
多年期几何平均,3年 (2022-2025),5251.97,6858.09,9.3
