类别,期间,起始价值,结束价值,年化收益率(%)
策略配置,Stock象限,Nasdaq 100 TR,25%,
策略配置,Bond象限,易方达增强回报债券,25%,
策略配置,Gold象限,黄金 (XAU/CNY),25%,
策略配置,Cash象限,现金 (1%年化),25%,
策略说明,再平衡频率,年度1次,,
年度收益,2017,10000.0,10006.45,0.06
年度收益,2018,10006.45,9938.34,-0.68
年度收益,2019,9938.34,11256.92,13.27
年度收益,2020,11256.92,12995.38,15.44
年度收益,2021,12995.38,13854.47,6.61
年度收益,2022,13854.47,13298.94,-4.01
年度收益,2023,13298.94,15012.09,12.88
年度收益,2024,15012.09,17226.76,14.75
年度收益,2025,17226.76,20377.57,18.29
多年期几何平均,5年 (2020-12至2025-12),12995.38,20377.57,9.41
多年期几何平均,3年 (2022-12至2025-12),13298.94,20377.57,15.29
风险指标,最大回撤,2022-03 (峰值),2022-09 (谷底),-6.99
风险指标,修复时间,2022-09,2023-06,9个月
