类别,期间,起始价值,结束价值,年化收益率(%)
策略配置,资产1,Nasdaq 100 TR,40%,
策略配置,资产2,S&P 500 TR,20%,
策略配置,资产3,易方达增强回报债券,20%,
策略配置,资产4,黄金 (XAU/CNY),10%,
策略配置,资产5,现金 (1%年化),10%,
策略说明,再平衡频率,年度1次,,
年度收益,2017,10000.0,10348.35,3.48
年度收益,2018,10348.35,9874.84,-4.58
年度收益,2019,9874.84,11700.04,18.48
年度收益,2020,11700.04,14464.5,23.63
年度收益,2021,14464.5,16898.59,16.83
年度收益,2022,16898.59,14826.72,-12.26
年度收益,2023,14826.72,17905.66,20.77
年度收益,2024,17905.66,21112.67,17.91
年度收益,2025,21112.67,24514.84,16.11
多年期几何平均,5年 (2020-11至2025-11),13927.0,24514.84,11.97
多年期几何平均,3年 (2022-11至2025-11),15485.27,24514.84,16.55
风险指标,最大回撤,2022-03 (峰值),2022-09 (谷底),-14.44
风险指标,修复时间,2022-09,2023-07,10个月
