类别,期间,起始价值,结束价值,年化收益率(%)
策略配置,资产1,Nasdaq 100 TR,50%,
策略配置,资产2,S&P 500 TR,50%,
策略说明,再平衡频率,年度1次,,
年度收益,1999,10000.0,14231.52,42.32
年度收益,2000,14231.52,11478.9,-19.34
年度收益,2001,11478.9,8376.54,-27.03
年度收益,2002,8376.54,5972.85,-28.7
年度收益,2003,5972.85,8416.24,40.91
年度收益,2004,8416.24,9163.37,8.88
年度收益,2005,9163.37,9906.73,8.11
年度收益,2006,9906.73,10697.66,7.98
年度收益,2007,10697.66,11809.98,10.4
年度收益,2008,11809.98,7863.56,-33.42
年度收益,2009,7863.56,11669.54,48.4
年度收益,2010,11669.54,14453.06,23.85
年度收益,2011,14453.06,14487.31,0.24
年度收益,2012,14487.31,15952.47,10.11
年度收益,2013,15952.47,20677.79,29.62
年度收益,2014,20677.79,24760.45,19.74
年度收益,2015,24760.45,26808.32,8.27
年度收益,2016,26808.32,31217.92,16.45
年度收益,2017,31217.92,38386.63,22.96
年度收益,2018,38386.63,35021.61,-8.77
年度收益,2019,35021.61,43687.48,24.74
年度收益,2020,43687.48,57444.22,31.49
年度收益,2021,57444.22,73848.52,28.56
年度收益,2022,73848.52,59170.04,-19.88
年度收益,2023,59170.04,76624.72,29.5
年度收益,2024,76624.72,94440.9,23.25
年度收益,2025,94440.9,110389.7,16.89
多年期几何平均,20年 (2005-11至2025-11),9985.49,110389.7,12.77
多年期几何平均,15年 (2010-11至2025-11),13674.23,110389.7,14.94
多年期几何平均,10年 (2015-11至2025-11),27223.98,110389.7,15.03
多年期几何平均,5年 (2020-11至2025-11),54952.15,110389.7,14.97
多年期几何平均,3年 (2022-11至2025-11),63819.57,110389.7,20.04
风险指标,最大回撤,2000-03 (峰值),2002-09 (谷底),-67.72
风险指标,修复时间,2002-09,2013-03,126个月
