类别,期间,起始价值,结束价值,年化收益率(%)
策略配置,Stock象限,S&P 500 TR,25%,
策略配置,Bond象限,美国长债 TLT,25%,
策略配置,Gold象限,黄金 (XAU/CNY),25%,
策略配置,Cash象限,现金 (1%年化),25%,
策略说明,再平衡频率,年度1次,,
年度收益,2013,10000.0,9754.08,-2.46
年度收益,2014,9754.08,10543.91,8.1
年度收益,2015,10543.91,9976.01,-5.39
年度收益,2016,9976.01,10502.08,5.27
年度收益,2017,10502.08,11236.02,6.99
年度收益,2018,11236.02,11086.9,-1.33
年度收益,2019,11086.9,12558.48,13.27
年度收益,2020,12558.48,13807.4,9.94
年度收益,2021,13807.4,14716.8,6.59
年度收益,2022,14716.8,13513.71,-8.17
年度收益,2023,13513.71,14340.63,6.12
年度收益,2024,14340.63,15961.86,11.31
年度收益,2025,15961.86,18579.72,16.4
多年期几何平均,10年 (2015-11至2025-11),10010.33,18579.72,6.38
多年期几何平均,5年 (2020-11至2025-11),13516.45,18579.72,6.57
多年期几何平均,3年 (2022-11至2025-11),13769.78,18579.72,10.5
风险指标,最大回撤,2022-03 (峰值),2022-09 (谷底),-11.15
风险指标,修复时间,2022-09,2024-03,18个月
