类别,期间,起始价值,结束价值,年化收益率(%)
策略配置,资产1,S&P 500 TR,30%,
策略配置,资产2,沪深300 TR,20%,
策略配置,资产3,易方达增强回报债券,30%,
策略配置,资产4,黄金 (XAU/CNY),15%,
策略配置,资产5,现金 (1%年化),5%,
策略说明,再平衡频率,年度1次,,
年度收益,2017,10000.0,10200.06,2.0
年度收益,2018,10200.06,9374.75,-8.09
年度收益,2019,9374.75,10928.11,16.57
年度收益,2020,10928.11,12530.34,14.66
年度收益,2021,12530.34,13451.93,7.35
年度收益,2022,13451.93,12665.09,-5.85
年度收益,2023,12665.09,13103.26,3.46
年度收益,2024,13103.26,15346.64,17.12
年度收益,2025,15346.64,17849.78,16.31
多年期几何平均,5年 (2020-11至2025-11),12101.66,17849.78,8.08
多年期几何平均,3年 (2022-11至2025-11),12851.4,17849.78,11.57
风险指标,最大回撤,2017-11 (峰值),2018-12 (谷底),-8.98
风险指标,修复时间,2018-12,2019-06,6个月
