类别,期间,起始价值,结束价值,年化收益率(%)
策略配置,Stock象限,沪深300 TR,25%,
策略配置,Bond象限,易方达增强回报债券,25%,
策略配置,Gold象限,黄金 (XAU/CNY),25%,
策略配置,Cash象限,现金 (1%年化),25%,
策略说明,再平衡频率,年度1次,,
年度收益,2017,10000.0,9964.5,-0.35
年度收益,2018,9964.5,9358.09,-6.09
年度收益,2019,9358.09,10604.26,13.32
年度收益,2020,10604.26,11860.78,11.85
年度收益,2021,11860.78,11613.39,-2.09
年度收益,2022,11613.39,11465.48,-1.27
年度收益,2023,11465.48,11290.39,-1.53
年度收益,2024,11290.39,12922.99,14.46
年度收益,2025,12922.99,15349.4,18.78
多年期几何平均,5年 (2020-12至2025-12),11860.78,15349.4,5.29
多年期几何平均,3年 (2022-12至2025-12),11465.48,15349.4,10.21
风险指标,最大回撤,2017-10 (峰值),2018-10 (谷底),-7.57
风险指标,修复时间,2018-10,2019-06,8个月
